number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state,mean_test_score,rank_test_score
183,0.807262367475167,2025-03-11 13:09:45.216440,2025-03-11 13:10:02.441024,0 days 00:00:17.224584,0.8146909794566308,0.010809290933474155,11,5,1960,0.030380875335669306,7.2898684554424245,0.85574935138564,COMPLETE,0.807262367475167,110
760,0.8072592552792179,2025-03-11 15:51:19.133814,2025-03-11 15:51:39.451469,0 days 00:00:20.317655,0.8083553188269369,0.010684617915151233,12,5,1895,0.39311906357812126,4.208463733029394,0.8918102761529069,COMPLETE,0.8072592552792179,111
362,0.8072548982048894,2025-03-11 13:56:35.834192,2025-03-11 13:56:57.528999,0 days 00:00:21.694807,0.8047650178910911,0.010021640620027064,14,6,1653,0.007343049960325276,5.381973788328112,0.8300454800759612,COMPLETE,0.8072548982048894,112
334,0.8072523080547125,2025-03-11 13:49:47.756255,2025-03-11 13:50:01.386198,0 days 00:00:13.629943,0.7736958843392885,0.011173782522571705,11,7,1784,0.007580890372888115,5.5077428898123575,0.8658331728480164,COMPLETE,0.8072523080547125,113
190,0.8072513442779025,2025-03-11 13:11:18.553382,2025-03-11 13:11:37.304086,0 days 00:00:18.750704,0.8100851157850018,0.012374337218058404,11,4,2021,0.020894526254059034,5.428557938182264,0.9025398171461506,COMPLETE,0.8072513442779025,114
292,0.8072480915311687,2025-03-11 13:38:59.872660,2025-03-11 13:39:17.946353,0 days 00:00:18.073693,0.6613133588723397,0.010148087058550095,12,8,2071,0.007345998176241095,9.923595475065856,0.8410030399824406,COMPLETE,0.8072480915311687,115
164,0.807235542353955,2025-03-11 13:05:08.527685,2025-03-11 13:05:23.105932,0 days 00:00:14.578247,0.7645694865198625,0.011397109616703168,11,6,1773,0.009536289325852139,4.055862510634712,0.889020459608568,COMPLETE,0.807235542353955,116
91,0.8072348195213475,2025-03-11 12:37:16.203237,2025-03-11 12:37:48.343503,0 days 00:00:32.140266,0.7787886595916845,0.011968183019472566,13,2,1778,0.4391761762142877,1.9198970604655758,0.9151590118747203,COMPLETE,0.8072348195213475,117
131,0.8072332132266642,2025-03-11 12:54:40.387345,2025-03-11 12:55:11.817481,0 days 00:00:31.430136,0.7994676851867542,0.010768156974237436,13,3,2159,0.004886334375432497,8.567031331090156,0.7995024371208904,COMPLETE,0.8072332132266642,118
809,0.8072321892138036,2025-03-11 16:05:45.285519,2025-03-11 16:06:02.190386,0 days 00:00:16.904867,0.8511898024897682,0.010006740420518913,12,7,1802,0.006637014307063997,2.861113452679431,0.8988285123087146,COMPLETE,0.8072321892138036,119
880,0.8072256034056017,2025-03-11 16:26:10.550736,2025-03-11 16:26:25.852343,0 days 00:00:15.301607,0.7811337785616344,0.010754748678455547,12,7,1604,0.10205321308539911,3.8547614731384097,0.8069601125571702,COMPLETE,0.8072256034056017,120
652,0.8072227522325388,2025-03-11 15:20:17.148709,2025-03-11 15:20:36.180011,0 days 00:00:19.031302,0.7871254995813038,0.01240964995459551,12,6,1922,0.20787952366533896,7.341663223162937,0.8845808638379867,COMPLETE,0.8072227522325388,121
415,0.8072224711309692,2025-03-11 14:12:18.368240,2025-03-11 14:12:38.704565,0 days 00:00:20.336325,0.8838658448504895,0.012822012211615717,12,6,2170,0.14089875912354516,8.355131518545564,0.9648852324180045,COMPLETE,0.8072224711309692,122
810,0.8072206038133998,2025-03-11 16:06:02.191555,2025-03-11 16:06:19.776973,0 days 00:00:17.585418,0.8535327117428507,0.010597702029364529,12,7,1889,0.0047026392487969455,3.059048645893728,0.9214506415851709,COMPLETE,0.8072206038133998,123
811,0.8072177526403368,2025-03-11 16:06:19.778028,2025-03-11 16:06:36.745731,0 days 00:00:16.967703,0.8261770062814885,0.010008089876635083,12,7,1799,0.006693234015072908,3.704071589979872,0.8848862656338848,COMPLETE,0.8072177526403368,124
712,0.8072165479193244,2025-03-11 15:37:20.165175,2025-03-11 15:37:36.376144,0 days 00:00:16.210969,0.7480575769393635,0.011298600716462878,11,8,2196,0.01525397082043072,7.107141887467525,0.8436244806643806,COMPLETE,0.8072165479193244,125
